sources,scenario,total_ms,acquisitions,fast_paths,content_reads,bytes_read,dirty,checked,affected,working_states,lex,parse,publish,reconciliation,config_ms,composition_ms,g0_prepare_ms,g0_io_ms,g0_apply_ms,g0_discovery_ms,g0_validate_ms,g0_semantic_ms,g0_publish_ms,g0_commit_ms,g0_cache_ms,g0_tracker_ms,runtime_attach_ms,io_open_sum_ms,io_observe_before_sum_ms,io_read_sum_ms,io_observe_after_sum_ms,io_hash_sum_ms,candidate_update_sum_ms,tx_source_prepare_ms,tx_string_prepare_ms,tx_graph_prepare_ms,tx_string_retention_ms,tx_string_compaction_ms,tx_contribution_prepare_ms,tx_source_publish_ms,tx_string_publish_ms,tx_contribution_publish_ms,tx_graph_publish_ms,graph_pending_member_resolution_ms,graph_live_typeref_validation_ms,graph_canonical_typeref_rebuild_ms,graph_string_validation_ms,graph_definition_scan_ms,graph_definition_materialization_ms,graph_rebuild_storage_ms,graph_dependency_index_ms,graph_final_prepare_ms
128,g0_initial,4.144600,128,0,128,3638,0,128,128,128,128,128,128,0,0.192800,0.092000,0.017500,2.218300,0.034400,0.089300,0.000800,0.969300,0.104400,0.058300,0.002900,0.233800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008000,0.004200,0.031500,0.000600,0.000100,0.008000,0.000300,0.001000,0.001900,0.001900,0.000100,0.002300,0.006800,0.001100,0.000500,0.002900,0.001500,0.003900,0.010600
128,g1_no_change,0.002100,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
128,g2_modify_one,0.498500,1,0,1,49,1,1,1,1,1,1,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
512,g0_initial,6.698400,512,0,512,15560,0,512,512,512,512,512,512,0,0.391400,0.299500,0.097700,3.368100,0.112100,0.328500,0.002200,0.995600,0.278700,0.108100,0.001700,0.409200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016900,0.002900,0.055200,0.001400,0.000300,0.019400,0.000600,0.003400,0.007400,0.000300,0.000400,0.001400,0.016800,0.004900,0.002100,0.006100,0.003100,0.004500,0.014400
512,g1_no_change,0.002100,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
512,g2_modify_one,0.340200,1,0,1,49,1,1,1,1,1,1,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2048,g0_initial,19.423700,2048,0,2048,66338,0,2048,2048,2048,2048,2048,2048,0,1.474800,1.230600,0.376000,9.459300,0.400400,1.268400,0.043400,1.328200,1.070400,0.377600,0.003000,1.263300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.064700,0.002800,0.187800,0.004700,0.000800,0.058000,0.000300,0.026200,0.031200,0.000300,0.001800,0.004000,0.036900,0.025300,0.007900,0.010500,0.024200,0.023200,0.049100
2048,g1_no_change,0.002200,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2048,g2_modify_one,0.425000,1,0,1,51,1,1,1,1,1,1,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8192,g0_initial,72.453500,8192,0,8192,275251,0,8192,8192,8192,8192,8192,8192,0,5.242600,5.101400,1.533200,33.904900,1.584200,5.761500,0.064800,2.905900,4.377300,1.406400,0.008600,4.700800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.338400,0.004300,0.706500,0.016800,0.003100,0.157000,0.000400,0.057900,0.120800,0.000500,0.007300,0.015700,0.160100,0.124200,0.049100,0.053600,0.066300,0.066300,0.146000
8192,g1_no_change,0.002600,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8192,g2_modify_one,0.457000,1,0,1,51,1,1,1,1,1,1,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
32768,g0_initial,292.970000,32768,0,32768,1179156,0,32768,32768,32768,32768,32768,32768,0,21.771900,21.587400,6.661000,130.709700,6.319400,26.506200,0.481300,6.625400,21.902900,6.842200,0.058200,18.802600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.554000,0.009600,2.968100,0.066900,0.011800,0.562300,0.000400,0.156700,0.510600,0.000700,0.046700,0.061500,0.541900,0.653800,0.404600,0.516500,0.167900,0.202200,0.296600
32768,g1_no_change,0.003000,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
32768,g2_modify_one,0.415900,1,0,1,53,1,1,1,1,1,1,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
RC-V2-03 PASS
